Route #0: [YYZ, YXU]
Route #1: [ORD, ATW]
Route #2: [DEL, GOP]
Route #3: [LOS, PHC]
Route #4: [VIE, SBZ]
Route #5: [PNR, BZV]
Route #6: [BKO, OUA]
Route #7: [ANC, VDZ]
Route #8: [KMG, DIG]
Route #9: [YUY, YVO]
Route #10: [BCN, ALG]
Route #11: [IRA, RNA]
Route #12: [MRS, BIQ]
Route #13: [AMS, BRE]
Route #14: [PLU, GVR]
Route #15: [PEK, TNA]
Route #16: [YQQ, YBL]
Route #17: [LBV, DLA]
Route #18: [JKH, MJT]
Route #19: [IKT, KCK]
Route #20: [VLI, TAH]
Route #21: [CMN, OUD]
Route #22: [NAQ, THU]
Route #23: [MNL, OZC]
Route #24: [CMB, MLE]
Route #25: [DME, VOZ]
Route #26: [PLU, AAX]
Route #27: [YQB, YBC]
Route #28: [GAN, KDM]
Route #29: [YVR, YZP]
Route #30: [TUK, GWD]
Route #31: [KMG, XIC]
Route #32: [FDF, SLU]
Route #33: [FAO, GRQ]
Route #34: [FRA, HAJ]
Route #35: [CCS, CZE]
Route #36: [PBI, TPA]
Route #37: [YQB, YGR]
Route #38: [ORY, LRT]
Route #39: [LIH, HNL]
Route #40: [GLA, KEF]
Route #41: [YZV, ZGS]
Route #42: [HAV, SCU]
Route #43: [BYN, LTI]
Route #44: [MAO, TBT]
Route #45: [JUV, NAQ]
Route #46: [ORD, YKF]
Route #47: [DMK, BFV]
Route #48: [ORD, EVV]
Route #49: [YEG, YQU]
Route #50: [VCP, IZA]
Route #51: [LOS, COO]
Route #52: [MDL, THL]
Route #53: [GCI, DNR]
Route #54: [OTP, IAS]
Route #55: [HAN, VCA]
Route #56: [LGW, ERF]
Route #57: [YRT, YEK]
Route #58: [YWG, YQT]
Route #59: [AMS, SEN]
Route #60: [SLC, TWF]
Route #61: [ALG, MUW]
Route #62: [THR, KHY]
Route #63: [YHZ, YCL]
Route #64: [RAR, PPT]
Route #65: [CKS, MAB]
Route #66: [LHR, LBA]
Route #67: [YUT, YZS]
Route #68: [CTS, WKJ]
Route #69: [LAD, LUO]
Route #70: [SJO, MGA]
Route #71: [ARI, IQQ]
Route #72: [YER, YAX]
Route #73: [HAN, VTE]
Route #74: [CGO, YTY]
Route #75: [ANM, WMN]
Route #76: [FMN, ALS]
Route #77: [SCO, ASF]
Route #78: [ELS, PLZ]
Route #79: [CNX, HGN]
Route #80: [RAR, AIT]
Route #81: [VNX, INH]
Route #82: [BSB, BRA]
Route #83: [LIM, TRU]
Route #84: [CKG, DYG]
Route #85: [OPO, XCR]
Route #86: [SGN, PNH]
Route #87: [HAV, GAO]
Route #88: [SLC, CDC]
Route #89: [ICN, TAE]
Route #90: [YYR, YAY]
Route #91: [YRL, YVZ]
Route #92: [CGK, SOC]
Route #93: [ABZ, LSI]
Route #94: [LRE, WIN]
Route #95: [YVQ, YEV]
Route #96: [TLE, MOQ]
Route #97: [POS, GND]
Route #98: [RKV, IFJ]
Route #99: [REP, KOS]
Route #100: [SIN, IPH]
Route #101: [MEX, CME]
Route #102: [NRT, SPN]
Route #103: [PRG, WAW]
Route #104: [MSP, LNK]
Route #105: [YHK, YCB]
Route #106: [ALG, BLJ]
Route #107: [DXB, MEL]
Route #109: [OPO, EBU]
Route #110: [MUC, ZRH]
Route #111: [LIM, TCQ]
Route #112: [POM, TBG]
